sgrna	Gene	control_count	treatment_count	control_mean	treat_mean	LFC	control_var	adj_var	score	p.low	p.high	p.twosided	FDR	high_in_treatment
chr11:82061711-82061734	CCL11	25.015	50.302	25.015	50.302	0.97967	319.71	151.86	2.052	0.97948	0.020522	0.041043	0.14593	True
chr5:140328705-140328728	FTSJ2	128.34	46.505	128.34	46.505	-1.445	3348.2	1612.8	2.0515	0.020108	0.97989	0.040216	0.14451	False
chr4:58877072-58877095	AI314180	64.168	113.89	64.168	113.89	0.81802	1236.1	587.44	2.0515	0.97981	0.020191	0.040383	0.14489	True
chr2:174456989-174457012	TUBB1	134.86	220.19	134.86	220.19	0.70313	3640.3	1734.3	2.0489	0.97975	0.020248	0.040495	0.14506	True
chr7:103604002-103604025	OLFR619	271.9	129.08	271.9	129.08	-1.069	10199	4864.3	2.0488	0.020242	0.97976	0.040484	0.14506	False
chr9:39599966-39599989	AW551984	38.066	72.131	38.066	72.131	0.90456	580.2	276.61	2.0482	0.9795	0.020498	0.040996	0.14593	True
chr1:60131856-60131879	CARF	21.752	44.607	21.752	44.607	1.0033	261.18	124.55	2.0479	0.97918	0.020817	0.041635	0.14748	True
chr4:115785169-115785192	ATPAF1	216.43	95.858	216.43	95.858	-1.1666	7269.1	3474.7	2.0479	0.020286	0.97971	0.040571	0.14517	False
chr19:59937087-59937110	RAB11FIP2	151.18	58.843	151.18	58.843	-1.3465	4262.7	2050.3	2.0475	0.020307	0.97969	0.040613	0.14517	False
chr18:73935002-73935025	MAPK4	528.57	762.12	528.57	762.12	0.52707	27271	13012	2.0474	0.97969	0.02031	0.040619	0.14517	True
chr11:106213145-106213168	CCDC47	95.709	30.371	95.709	30.371	-1.6242	2134.5	1050.5	2.0463	0.020364	0.97964	0.040729	0.14537	False
chr4:44984513-44984536	GRHPR	105.5	35.116	105.5	35.116	-1.5601	2476.7	1210.9	2.0462	0.020369	0.97963	0.040738	0.14537	False
chrX:35963394-35963417	DOCK11	166.4	67.385	166.4	67.385	-1.2916	4902.2	2360.5	2.0441	0.020473	0.97953	0.040945	0.14593	False
chr6:58215863-58215886	VMN1R27	244.71	112.94	244.71	112.94	-1.1087	8681.4	4164	2.0435	0.020503	0.9795	0.041006	0.14593	False
chr16:14049407-14049430	2900011O08RIK	164.23	66.436	164.23	66.436	-1.2929	4781.6	2315.3	2.0386	0.020745	0.97925	0.041491	0.14714	False
chr4:132538259-132538282	DNAJC8	44.592	82.571	44.592	82.571	0.87423	721.2	347.24	2.0381	0.97906	0.020945	0.041889	0.14787	True
chr9:95988984-95989007	XRN1	51.117	93.011	51.117	93.011	0.85106	877.53	422.8	2.0374	0.97906	0.020939	0.041879	0.14787	True
chr6:58215212-58215235	VMN1R27	167.49	68.334	167.49	68.334	-1.281	4915.9	2383.2	2.037	0.020826	0.97917	0.041652	0.14748	False
chr8:94913234-94913257	CCDC102A	16.314	1.8982	16.314	1.8982	-2.5787	103.91	83	2.0359	0.02088	0.97912	0.041761	0.14775	False
chr13:23011378-23011401	VMN1R213	141.39	54.098	141.39	54.098	-1.3698	3809.8	1858.6	2.0347	0.020938	0.97906	0.041877	0.14787	False
chr15:6459616-6459639	C9	82.657	24.676	82.657	24.676	-1.7041	1680.9	848.5	2.0327	0.021043	0.97896	0.042086	0.14845	False
chr6:134423844-134423867	BCL2L14	408.94	217.34	408.94	217.34	-0.90882	18355	8894.3	2.0317	0.021092	0.97891	0.042184	0.14858	False
chr11:118394087-118394110	LGALS3BP	299.09	147.11	299.09	147.11	-1.0187	11549	5599.5	2.0316	0.021095	0.97891	0.042189	0.14858	False
chr15:8117302-8117325	NUP155	268.64	409.06	268.64	409.06	0.60481	9858.8	4778.4	2.0314	0.97889	0.02111	0.042221	0.14858	True
chr3:10206053-10206076	FABP4	43.504	80.672	43.504	80.672	0.87592	690.75	335.12	2.0304	0.97865	0.021346	0.042693	0.14978	True
chr14:50238637-50238660	OLFR731	295.83	145.21	295.83	145.21	-1.0216	11343	5509.5	2.0298	0.021188	0.97881	0.042376	0.14901	False
chr19:28901447-28901470	SLC1A1	66.344	116.74	66.344	116.74	0.80597	1269.8	616.52	2.0296	0.97872	0.02128	0.042559	0.14954	True
chr7:28782774-28782797	SIRT2	32.628	5.6945	32.628	5.6945	-2.3286	362.7	221.81	2.0268	0.021339	0.97866	0.042679	0.14978	False
chr14:49318948-49318971	SLC35F4	142.48	55.047	142.48	55.047	-1.3561	3821.9	1879.6	2.0262	0.021373	0.97863	0.042745	0.14985	False
chr2:44065060-44065083	ARHGAP15	561.2	319.84	561.2	319.84	-0.80922	29127	14221	2.0239	0.021488	0.97851	0.042976	0.15055	False
chr8:43521712-43521735	ADAM26B	212.08	94.909	212.08	94.909	-1.1517	6864.8	3372.3	2.0202	0.021683	0.97832	0.043365	0.15179	False
chr11:53422814-53422837	LEAP2	303.44	150.9	303.44	150.9	-1.003	11633	5720.2	2.0174	0.021829	0.97817	0.043657	0.15258	False
chr7:102928033-102928056	OLFR572	155.53	62.64	155.53	62.64	-1.2984	4314	2137.5	2.0162	0.021887	0.97811	0.043775	0.15288	False
chr11:75756819-75756842	YWHAE	438.3	238.22	438.3	238.22	-0.87687	20016	9856.7	2.0154	0.021931	0.97807	0.043863	0.153	False
chr9:53592047-53592070	ACAT1	247.97	116.74	247.97	116.74	-1.0804	8611.3	4246.2	2.0153	0.021938	0.97806	0.043875	0.153	False
chr2:165381705-165381728	ZFP334	180.54	76.876	180.54	76.876	-1.221	5373.2	2661	2.0139	0.022009	0.97799	0.044018	0.15337	False
chr5:107914414-107914437	FAM69A	132.69	50.302	132.69	50.302	-1.3818	3393.7	1693.4	2.0136	0.022025	0.97798	0.04405	0.15337	False
chr14:33271914-33271937	ARHGAP22	328.45	167.04	328.45	167.04	-0.97128	13027	6430.8	2.0133	0.022044	0.97796	0.044088	0.15339	False
chr11:70971817-70971840	RPAIN	20.664	2.8473	20.664	2.8473	-2.4934	158.72	115.83	2.0123	0.022092	0.97791	0.044184	0.15361	False
chr2:28735517-28735540	AK8	41.329	8.5418	41.329	8.5418	-2.1493	537.49	311.29	2.0104	0.022196	0.9778	0.044392	0.15422	False
chr3:36959488-36959511	4932438A13RIK	144.65	56.945	144.65	56.945	-1.3298	3846.1	1921.8	2.0095	0.022243	0.97776	0.044485	0.15442	False
chr5:113966249-113966272	SSH1	68.519	119.58	68.519	119.58	0.79458	1303.9	646.05	2.0091	0.97766	0.022342	0.044684	0.155	True
chr1:23891981-23892004	SMAP1	239.27	111.99	239.27	111.99	-1.0884	8100	4028.3	2.0069	0.022381	0.97762	0.044763	0.15515	False
chr6:124809556-124809579	SPSB2	46.767	85.418	46.767	85.418	0.85532	746.95	371.9	2.0042	0.9773	0.022696	0.045392	0.15686	True
chr19:5638983-5639006	RELA	63.081	111.04	63.081	111.04	0.80609	1150.2	573.06	2.0035	0.97735	0.022654	0.045309	0.15673	True
chr4:83013873-83013896	FREM1	30.453	58.843	30.453	58.843	0.92801	403.01	200.98	2.0026	0.97703	0.022973	0.045947	0.15806	True
chr19:12674639-12674662	OLFR1442	30.453	58.843	30.453	58.843	0.92801	403.01	200.98	2.0026	0.97703	0.022973	0.045947	0.15806	True
chr11:69001728-69001751	PFAS	87.008	27.524	87.008	27.524	-1.6255	1769.2	914.28	2.0025	0.022617	0.97738	0.045235	0.15667	False
chr17:27885015-27885038	UHRF1BP1	179.45	76.876	179.45	76.876	-1.2124	5261.1	2637.5	2.0017	0.02266	0.97734	0.04532	0.15673	False
chr2:30967253-30967276	TOR1A	252.32	120.53	252.32	120.53	-1.0596	8684.1	4356.5	1.9979	0.022865	0.97713	0.04573	0.15784	False
chr9:81632297-81632320	HTR1B	48.942	11.389	48.942	11.389	-2.0112	705.11	397.09	1.9975	0.022885	0.97712	0.045769	0.15784	False
chr10:76470404-76470427	MCM3AP	152.26	61.691	152.26	61.691	-1.2897	4101.7	2072	1.9971	0.022906	0.97709	0.045812	0.15784	False
chr2:87033823-87033846	OLFR1105	115.29	41.76	115.29	41.76	-1.4433	2703	1378.5	1.9971	0.022906	0.97709	0.045812	0.15784	False
chr1:63477699-63477722	ADAM23	45.679	83.52	45.679	83.52	0.85651	715.95	359.5	1.9957	0.97683	0.023166	0.046332	0.15903	True
chr18:25679400-25679423	CELF4	183.8	79.723	183.8	79.723	-1.1949	5416.4	2732	1.9952	0.023012	0.97699	0.046024	0.15821	False
chr11:70006319-70006342	DVL2	60.906	16.134	60.906	16.134	-1.8532	1002.2	544.67	1.9935	0.023106	0.97689	0.046212	0.15874	False
chr19:3852316-3852339	CHKA	11.964	26.574	11.964	26.574	1.0889	106.74	53.786	1.9922	0.97557	0.024429	0.048857	0.16462	True
chrX:150557384-150557407	ALAS2	165.31	69.283	165.31	69.283	-1.2427	4611	2337.9	1.9917	0.023203	0.9768	0.046407	0.15914	False
chr10:121576304-121576327	TBK1	66.344	115.79	66.344	115.79	0.79429	1222.4	616.52	1.9914	0.97669	0.023309	0.046617	0.15965	True
chr19:5729329-5729352	FAM89B	51.117	92.061	51.117	92.061	0.83643	838.22	422.8	1.9913	0.97662	0.023377	0.046755	0.15976	True
chr11:120421462-120421485	NPLOC4	28.278	55.047	28.278	55.047	0.93684	358.3	180.82	1.9908	0.97633	0.023673	0.047346	0.16139	True
chr7:24542198-24542221	2310033E01RIK	6.5256	16.134	6.5256	16.134	1.187	46.165	23.33	1.9894	0.97441	0.025591	0.051181	0.16935	True
chr16:36618484-36618507	CD86	243.62	115.79	243.62	115.79	-1.0667	8170.7	4136.8	1.9889	0.023357	0.97664	0.046715	0.15975	False
chr17:37020613-37020636	MOG	69.606	19.931	69.606	19.931	-1.7542	1233.8	660.99	1.9889	0.023358	0.97664	0.046715	0.15975	False
chrX:141613597-141613620	COL4A5	296.91	149.01	296.91	149.01	-0.98987	10938	5539.4	1.9879	0.023413	0.97659	0.046827	0.15989	False
chrX:167489726-167489749	FRMPD4	27.19	53.149	27.19	53.149	0.94175	336.93	170.99	1.9852	0.97599	0.024013	0.048026	0.16278	True
chr14:20688422-20688445	SEC24C	36.978	69.283	36.978	69.283	0.88801	521.81	265.35	1.9832	0.97605	0.023952	0.047903	0.1626	True
chr2:71308099-71308122	SLC25A12	182.72	79.723	182.72	79.723	-1.1864	5303.8	2708.3	1.983	0.023686	0.97631	0.047371	0.16139	False
chr3:62604165-62604188	GPR149	90.271	151.85	90.271	151.85	0.74393	1896.2	964.64	1.9828	0.97626	0.023738	0.047477	0.16139	True
chr12:110279636-110279659	DIO3	50.03	90.163	50.03	90.163	0.83712	805.36	409.88	1.9824	0.97612	0.02388	0.047761	0.16224	True
chr7:12193427-12193450	VMN1R80	108.76	38.913	108.76	38.913	-1.4594	2439.3	1266	1.9822	0.023728	0.97627	0.047456	0.16139	False
chr17:27718181-27718204	SPDEF	213.17	97.756	213.17	97.756	-1.1168	6660.1	3397.8	1.9822	0.02373	0.97627	0.047459	0.16139	False
chr6:40493720-40493743	TAS2R108	294.74	148.06	294.74	148.06	-0.98846	10758	5479.6	1.9821	0.023732	0.97627	0.047464	0.16139	False
chr4:117890923-117890946	DPH2	13.051	28.473	13.051	28.473	1.0687	118.91	60.722	1.979	0.97491	0.025085	0.05017	0.16709	True
chr16:4551366-4551389	TFAP4	13.051	28.473	13.051	28.473	1.0687	118.91	60.722	1.979	0.97491	0.025085	0.05017	0.16709	True
chr5:137747324-137747347	TSC22D4	149	60.742	149	60.742	-1.2807	3894.9	2007.2	1.9776	0.023989	0.97601	0.047978	0.16274	False
chr16:32186495-32186518	BEX6	320.84	165.14	320.84	165.14	-0.95394	12121	6211.6	1.976	0.02408	0.97592	0.04816	0.16311	False
chr18:61220905-61220928	PDE6A	25.015	49.353	25.015	49.353	0.95273	296.16	151.86	1.9749	0.97534	0.02466	0.049319	0.16545	True
chr19:34474694-34474717	CH25H	25.015	49.353	25.015	49.353	0.95273	296.16	151.86	1.9749	0.97534	0.02466	0.049319	0.16545	True
chr1:193330164-193330187	LAMB3	57.643	15.185	57.643	15.185	-1.8573	901.31	502.95	1.9737	0.02421	0.97579	0.048419	0.16375	False
chr9:64020730-64020753	SMAD6	57.643	15.185	57.643	15.185	-1.8573	901.31	502.95	1.9737	0.02421	0.97579	0.048419	0.16375	False
chr4:103026557-103026580	INSL5	48.942	88.265	48.942	88.265	0.83784	773.16	397.09	1.9734	0.9756	0.024399	0.048798	0.1646	True
chr14:59419454-59419477	SETDB2	48.942	88.265	48.942	88.265	0.83784	773.16	397.09	1.9734	0.9756	0.024399	0.048798	0.1646	True
chr17:31455066-31455089	PDE9A	188.15	83.52	188.15	83.52	-1.1622	5474.2	2827.6	1.9712	0.024353	0.97565	0.048706	0.1646	False
chr18:34845951-34845974	REEP2	23.927	47.454	23.927	47.454	0.95891	276.76	142.57	1.9704	0.97504	0.024959	0.049918	0.16661	True
chr4:129182021-129182044	S100PBP	23.927	47.454	23.927	47.454	0.95891	276.76	142.57	1.9704	0.97504	0.024959	0.049918	0.16661	True
chr12:11255197-11255220	GEN1	206.64	318.89	206.64	318.89	0.62348	6300	3245.8	1.9703	0.97559	0.024408	0.048815	0.1646	True
chr8:105477031-105477054	ZDHHC1	84.833	143.31	84.833	143.31	0.74959	1709.9	881.19	1.97	0.97553	0.024471	0.048941	0.16477	True
chr11:70136263-70136286	MGL2	14.139	30.371	14.139	30.371	1.0512	131.74	67.91	1.9697	0.97446	0.025535	0.051071	0.16911	True
chr16:76293476-76293499	NRIP1	87.008	28.473	87.008	28.473	-1.5783	1713.2	914.28	1.9688	0.024486	0.97551	0.048972	0.16477	False
chr2:121414143-121414166	PDIA3	64.168	18.033	64.168	18.033	-1.7757	1064.2	587.44	1.968	0.024532	0.97547	0.049064	0.16496	False
chr9:36786481-36786504	EI24	195.77	88.265	195.77	88.265	-1.1403	5778.4	2997.5	1.9665	0.024622	0.97538	0.049244	0.16544	False
chr15:3347554-3347577	GHR	22.84	45.556	22.84	45.556	0.96561	258.02	133.46	1.9663	0.97476	0.025235	0.050471	0.16785	True
chr3:51677586-51677609	MGST2	84.833	27.524	84.833	27.524	-1.5894	1642.2	881.19	1.9654	0.024687	0.97531	0.049373	0.16551	False
chr18:35980419-35980442	PSD2	224.05	105.35	224.05	105.35	-1.0814	7044.4	3656.2	1.9648	0.02472	0.97528	0.04944	0.16562	False
chr2:87509592-87509615	PRAMEL6	76.132	130.02	76.132	130.02	0.76444	1452.2	752.85	1.9642	0.97518	0.024824	0.049649	0.16619	True
chr6:3374891-3374914	SAMD9L	15.226	32.269	15.226	32.269	1.0358	145.22	75.338	1.9635	0.97418	0.02582	0.05164	0.16977	True
chr19:32486537-32486560	MINPP1	15.226	32.269	15.226	32.269	1.0358	145.22	75.338	1.9635	0.97418	0.02582	0.05164	0.16977	True
chr1:166269542-166269565	ILDR2	15.226	32.269	15.226	32.269	1.0358	145.22	75.338	1.9635	0.97418	0.02582	0.05164	0.16977	True
chr1:177743256-177743279	1700016C15RIK	228.4	108.2	228.4	108.2	-1.0709	7224	3761.3	1.9615	0.024909	0.97509	0.049817	0.16661	False
chr15:39119413-39119436	DCAF13	360	191.72	360	191.72	-0.90551	14159	7364.8	1.9611	0.024933	0.97507	0.049866	0.16661	False
chr6:41446044-41446067	GM10334	193.59	87.316	193.59	87.316	-1.1397	5647.4	2948.6	1.9602	0.024987	0.97501	0.049974	0.16668	False
chr1:106950700-106950723	SERPINB12	177.28	77.825	177.28	77.825	-1.1774	4945.5	2590.6	1.9581	0.025111	0.97489	0.050221	0.16714	False
chr15:84693794-84693817	PRR5	287.13	145.21	287.13	145.21	-0.97865	10070	5271.8	1.9552	0.02528	0.97472	0.05056	0.16802	False
chr3:96651857-96651880	ITGA10	155.53	65.487	155.53	65.487	-1.2353	4053.6	2137.5	1.9538	0.025362	0.97464	0.050724	0.16844	False
chr10:13182984-13183007	LTV1	178.37	78.774	178.37	78.774	-1.1689	4959.3	2614	1.9519	0.025476	0.97452	0.050952	0.16897	False
chr15:54588467-54588490	MAL2	276.25	138.57	276.25	138.57	-0.99023	9478.3	4979.6	1.9519	0.025478	0.97452	0.050956	0.16897	False
chr8:4187260-4187283	EVI5L	143.56	58.843	143.56	58.843	-1.2724	3588.7	1900.7	1.9513	0.02551	0.97449	0.05102	0.16906	False
chr7:101902054-101902077	TOMT	78.307	132.87	78.307	132.87	0.75533	1488.7	784.32	1.9484	0.97425	0.025753	0.051506	0.16977	True
chr6:49406802-49406825	STK31	58.73	16.134	58.73	16.134	-1.8016	907.2	516.74	1.9479	0.025713	0.97429	0.051427	0.16977	False
chr16:32186493-32186516	BEX6	269.72	134.77	269.72	134.77	-0.99566	9106.3	4807	1.9473	0.02575	0.97425	0.0515	0.16977	False
chr7:19386755-19386778	ERCC2	138.13	55.996	138.13	55.996	-1.2874	3372.6	1796.1	1.9469	0.025774	0.97423	0.051547	0.16977	False
chr12:119180994-119181017	ITGB8	763.49	471.7	763.49	471.7	-0.69359	42573	22468	1.9467	0.025786	0.97421	0.051572	0.16977	False
chr3:88726380-88726403	RIT1	298	152.8	298	152.8	-0.95907	10541	5569.4	1.9462	0.025818	0.97418	0.051637	0.16977	False
chr13:100783527-100783550	CCNB1	69.606	119.58	69.606	119.58	0.77218	1248.9	660.99	1.944	0.97396	0.026038	0.052076	0.17072	True
chr17:24474697-24474720	9930021D14RIK	104.41	37.963	104.41	37.963	-1.4358	2207.5	1192.7	1.9438	0.025961	0.97404	0.051923	0.17058	False
chr10:86343957-86343980	TIMP3	65.256	112.94	65.256	112.94	0.78217	1137	601.92	1.9436	0.97393	0.026071	0.052143	0.17081	True
chr1:6248428-6248451	RB1CC1	31.54	59.792	31.54	59.792	0.90166	399.09	211.31	1.9435	0.97363	0.026373	0.052745	0.17229	True
chr10:85146781-85146804	CRY1	232.75	111.99	232.75	111.99	-1.0487	7290.7	3867.4	1.9432	0.025996	0.974	0.051991	0.17068	False
chr7:108055211-108055234	OLFR479	193.59	88.265	193.59	88.265	-1.1243	5546.9	2948.6	1.9426	0.026032	0.97397	0.052064	0.17072	False
chr8:56317757-56317780	HPGD	7.6132	18.033	7.6132	18.033	1.1439	54.283	28.803	1.9415	0.97169	0.02831	0.056621	0.18034	True
chr5:100798312-100798335	HELQ	7.6132	18.033	7.6132	18.033	1.1439	54.283	28.803	1.9415	0.97169	0.02831	0.056621	0.18034	True
chr9:21289252-21289275	CDKN2D	229.48	110.09	229.48	110.09	-1.0529	7126.9	3787.8	1.9414	0.026104	0.9739	0.052207	0.1709	False
chr5:9435324-9435347	9330182L06RIK	96.796	34.167	96.796	34.167	-1.4756	1961.2	1068	1.9404	0.026165	0.97383	0.052331	0.17111	False
chr5:3968604-3968627	AKAP9	183.8	82.571	183.8	82.571	-1.1449	5124.1	2732	1.9403	0.026172	0.97383	0.052344	0.17111	False
chr1:135885006-135885029	PKP1	30.453	57.894	30.453	57.894	0.90494	376.52	200.98	1.9357	0.97312	0.02688	0.05376	0.17449	True
chr19:8820617-8820640	HNRNPUL2	50.03	89.214	50.03	89.214	0.82202	767.72	409.88	1.9355	0.97335	0.026645	0.05329	0.17333	True
chr1:106949583-106949606	SERPINB12	277.34	140.46	277.34	140.46	-0.97639	9367.1	5008.6	1.9347	0.026513	0.97349	0.053026	0.17288	False
chr10:123704437-123704460	FAM19A2	149	62.64	149	62.64	-1.237	3729.1	2007.2	1.9346	0.026522	0.97348	0.053043	0.17288	False
chr13:91770836-91770859	ACOT12	149	62.64	149	62.64	-1.237	3729.1	2007.2	1.9346	0.026522	0.97348	0.053043	0.17288	False
chr15:76723675-76723698	C030006K11RIK	133.77	54.098	133.77	54.098	-1.2905	3174.2	1713.8	1.9343	0.026538	0.97346	0.053076	0.17288	False
chr4:128617083-128617106	TLR12	51.117	13.287	51.117	13.287	-1.867	715.55	422.8	1.9331	0.026612	0.97339	0.053223	0.17324	False
chr5:107721683-107721706	GFI1	32.628	6.6436	32.628	6.6436	-2.1373	337.59	221.81	1.9323	0.026663	0.97334	0.053327	0.17333	False
chr12:73700224-73700247	PRKCH	119.64	46.505	119.64	46.505	-1.3445	2674	1455.3	1.9303	0.026785	0.97321	0.05357	0.174	False
chr7:103840204-103840227	HBB-BH2	291.48	149.96	291.48	149.96	-0.95419	10014	5390.2	1.9282	0.026918	0.97308	0.053835	0.17449	False
chr5:91028364-91028387	EPGN	114.2	43.658	114.2	43.658	-1.3671	2487.9	1359.6	1.9281	0.026918	0.97308	0.053837	0.17449	False
chr4:93335203-93335226	TUSC1	68.519	20.88	68.519	20.88	-1.6678	1134.7	646.05	1.9263	0.027031	0.97297	0.054063	0.1751	False
chr18:25679462-25679485	CELF4	159.88	69.283	159.88	69.283	-1.1947	4103.6	2225.8	1.9257	0.027073	0.97293	0.054146	0.17525	False
chr19:10417996-10418019	SYT7	2.1752	6.6436	2.1752	6.6436	1.2674	9.9833	5.394	1.924	0.96708	0.032924	0.065848	0.2001	True
chr13:15720230-15720253	GLI3	59.818	17.084	59.818	17.084	-1.7498	913.11	530.64	1.9235	0.027211	0.97279	0.054422	0.17602	False
chr1:87475063-87475086	3110079O15RIK	408.94	227.78	408.94	227.78	-0.84144	16409	8894.3	1.921	0.027368	0.97263	0.054735	0.17691	False
chr14:57971702-57971725	EFHA1	174.02	77.825	174.02	77.825	-1.1508	4626.3	2520.8	1.9199	0.027436	0.97256	0.054871	0.17722	False
chr11:115935402-115935425	SAP30BP	53.292	93.96	53.292	93.96	0.80657	826.91	449.02	1.9192	0.97235	0.027646	0.055292	0.17821	True
chr2:5973561-5973584	UPF2	45.679	11.389	45.679	11.389	-1.9137	587.91	359.5	1.919	0.02749	0.97251	0.05498	0.17745	False
chr7:17093655-17093678	PSG16	205.56	96.807	205.56	96.807	-1.0785	5913.2	3220.7	1.9185	0.027524	0.97248	0.055049	0.17755	False
chr1:5589221-5589244	OPRK1	42.416	76.876	42.416	76.876	0.84294	593.74	323.14	1.917	0.97213	0.027875	0.05575	0.1788	True
chr13:94877410-94877433	OTP	42.416	76.876	42.416	76.876	0.84294	593.74	323.14	1.917	0.97213	0.027875	0.05575	0.1788	True
chr15:60823450-60823473	FAM84B	4.3504	11.389	4.3504	11.389	1.2113	24.771	13.482	1.917	0.96868	0.031317	0.062633	0.19357	True
chr9:15294444-15294467	4931406C07RIK	270.81	137.62	270.81	137.62	-0.9715	8870.4	4835.6	1.9162	0.027673	0.97233	0.055346	0.17821	False
chr2:150688780-150688803	VSX1	689.54	423.29	689.54	423.29	-0.70266	35443	19310	1.916	0.027685	0.97232	0.055369	0.17821	False
chrX:62291141-62291164	4933402E13RIK	236.01	115.79	236.01	115.79	-1.021	7226.5	3947.6	1.9147	0.027763	0.97224	0.055526	0.17858	False
chr19:12099190-12099213	OLFR1427	118.55	46.505	118.55	46.505	-1.3314	2595.1	1436	1.9144	0.027786	0.97221	0.055573	0.17861	False
chr13:23357338-23357361	ZFP322A	217.52	104.4	217.52	104.4	-1.0519	6398.1	3500.4	1.9138	0.027826	0.97217	0.055652	0.17874	False
chr7:103906816-103906839	OLFR65	89.183	148.06	89.183	148.06	0.72494	1733.1	947.76	1.9124	0.97203	0.027965	0.055931	0.17926	True
chr7:63919386-63919409	E030018B13RIK	264.29	133.82	264.29	133.82	-0.9765	8510.6	4664.6	1.9111	0.027999	0.972	0.055998	0.17935	False
chr11:43197471-43197494	ATP10B	340.42	183.17	340.42	183.17	-0.89047	12363	6780.1	1.9099	0.028071	0.97193	0.056142	0.17956	False
chrX:135746199-135746222	ARMCX5	284.95	147.11	284.95	147.11	-0.94911	9500.3	5213	1.9098	0.028083	0.97192	0.056165	0.17956	False
chr2:36859893-36859916	OLFR351	71.781	22.778	71.781	22.778	-1.6139	1200.7	691.18	1.9096	0.028091	0.97191	0.056182	0.17956	False
chr3:55117336-55117359	SPG20	52.205	92.061	52.205	92.061	0.80663	794.28	435.84	1.9091	0.9717	0.028298	0.056596	0.18034	True
chr16:33251579-33251602	SNX4	8.7008	19.931	8.7008	19.931	1.1095	63.057	34.605	1.909	0.96977	0.030231	0.060463	0.18931	True
chr17:37020519-37020542	MOG	241.45	119.58	241.45	119.58	-1.0076	7425.2	4082.4	1.9084	0.028167	0.97183	0.056334	0.17992	False
chr11:49459922-49459945	OLFR1387	172.93	77.825	172.93	77.825	-1.1418	4522.3	2497.7	1.907	0.028263	0.97174	0.056526	0.18034	False
chr9:44783761-44783784	IFT46	34.803	64.538	34.803	64.538	0.87224	442.08	243.27	1.9064	0.97134	0.028665	0.057329	0.18209	True
chrX:62290824-62290847	4933402E13RIK	369.78	203.1	369.78	203.1	-0.86127	13891	7663	1.9042	0.02844	0.97156	0.05688	0.18104	False
chr8:23797354-23797377	ZMAT4	183.8	84.469	183.8	84.469	-1.1125	4933.8	2732	1.9037	0.028473	0.97153	0.056945	0.18107	False
chrX:145340935-145340958	LHFPL1	100.06	37.014	100.06	37.014	-1.4106	1987.3	1120.9	1.9036	0.028484	0.97152	0.056968	0.18107	False
chr8:13050800-13050823	F10	220.78	107.25	220.78	107.25	-1.0348	6445.2	3578.1	1.8997	0.028736	0.97126	0.057472	0.18242	False
chrX:44367778-44367801	DCAF12L2	31.54	6.6436	31.54	6.6436	-2.0899	309.92	211.31	1.8987	0.028803	0.9712	0.057605	0.18272	False
chr12:75906706-75906729	SYNE2	327.37	175.58	327.37	175.58	-0.89498	11520	6399.3	1.8977	0.028865	0.97114	0.05773	0.18298	False
chr8:105476624-105476647	ZDHHC1	45.679	81.621	45.679	81.621	0.82374	645.93	359.5	1.8956	0.97076	0.029238	0.058476	0.18473	True
chr5:33661581-33661604	TACC3	112.02	43.658	112.02	43.658	-1.3396	2336.9	1321.9	1.8952	0.02903	0.97097	0.058061	0.18377	False
chrX:9948905-9948928	SYTL5	192.5	90.163	192.5	90.163	-1.0858	5236.9	2924.3	1.8952	0.029031	0.97097	0.058061	0.18377	False
chr1:160950986-160951009	RC3H1	302.35	159.45	302.35	159.45	-0.9189	10211	5690	1.8949	0.02905	0.97095	0.058099	0.18377	False
chr8:70132578-70132601	NR2C2AP	59.818	103.45	59.818	103.45	0.78025	951.9	530.64	1.8941	0.97076	0.029241	0.058483	0.18473	True
chr7:5058073-5058096	CCDC106	79.395	132.87	79.395	132.87	0.73568	1429.9	800.21	1.8905	0.97058	0.029422	0.058843	0.18574	True
chr6:78467499-78467522	REG3G	172.93	78.774	172.93	78.774	-1.1245	4432.5	2497.7	1.8878	0.029525	0.97048	0.05905	0.18627	False
chr9:123021505-123021528	TMEM42	32.628	60.742	32.628	60.742	0.87658	395.19	221.81	1.8877	0.97004	0.02996	0.05992	0.18832	True
chrX:142189185-142189208	GUCY2F	9.7884	21.829	9.7884	21.829	1.0814	72.488	40.713	1.887	0.96845	0.03155	0.0631	0.19428	True
chr17:46198732-46198755	POLH	586.22	354.01	586.22	354.01	-0.72603	26960	15172	1.8852	0.029704	0.9703	0.059408	0.18727	False
chr6:136328944-136328967	GM8994	22.84	44.607	22.84	44.607	0.9359	236.91	133.46	1.8842	0.9695	0.030502	0.061004	0.19008	True
chr5:140635221-140635244	TTYH3	22.84	44.607	22.84	44.607	0.9359	236.91	133.46	1.8842	0.9695	0.030502	0.061004	0.19008	True
chr1:151405506-151405529	1200016B10RIK	319.75	171.78	319.75	171.78	-0.89249	10947	6180.5	1.8825	0.029883	0.97012	0.059767	0.18811	False
chr19:12674307-12674330	OLFR1442	1035.4	681.44	1035.4	681.44	-0.60279	62640	35358	1.8823	0.029894	0.97011	0.059789	0.18811	False
chr7:137387561-137387584	9430038I01RIK	306.7	163.24	306.7	163.24	-0.90571	10290	5811.3	1.8823	0.029898	0.9701	0.059797	0.18811	False
chr5:21425395-21425418	FAM185A	48.942	13.287	48.942	13.287	-1.8055	635.63	397.09	1.8812	0.029973	0.97003	0.059946	0.18832	False
