id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
5730409E04RIK	5	0.12059	0.25584	0.999361	238	2	-0.18784	0.065208	0.17506	0.893092	177	2	-0.18784
GOLGA2	5	0.12452	0.2619	0.999361	239	3	-0.51467	0.22795	0.41543	0.998244	404	1	-0.51467
LIME1	5	0.12495	0.26261	0.999361	240	3	-0.81052	0.70022	0.77585	0.999995	733	1	-0.81052
DSTYK	5	0.12571	0.26379	0.999361	241	3	-0.58159	0.93036	0.93072	0.999995	900	0	-0.58159
TEAD2	4	0.12579	0.26019	0.999361	242	3	-0.48839	0.98028	0.98069	0.999995	958	0	-0.48839
HUNK	5	0.12697	0.26574	0.999361	243	3	-0.68043	0.14489	0.29658	0.966056	299	2	-0.68043
G630090E17RIK	5	0.12982	0.27017	0.999361	244	2	-0.19326	0.88125	0.88235	0.999995	851	1	-0.19326
OLFR299	1	0.12993	0.13051	0.965182	245	1	-1.095	0.87007	0.87087	0.999995	838	0	-1.095
GHR	5	0.13038	0.2709	0.999361	246	2	0.22859	0.043337	0.12425	0.855695	136	2	0.22859
COQ2	5	0.13057	0.27115	0.999361	247	2	-0.40525	0.95217	0.95233	0.999995	926	0	-0.40525
FAM188A	5	0.13094	0.27183	0.999361	248	2	-0.24467	0.92945	0.92999	0.999995	897	0	-0.24467
GALNT4	5	0.13319	0.275	0.999361	249	2	0.0091025	0.78799	0.81785	0.999995	780	1	0.0091025
DCPS	5	0.1333	0.27525	0.999361	250	3	-0.62191	0.96946	0.96966	0.999995	945	0	-0.62191
TADA2A	5	0.13331	0.27525	0.999361	251	3	-0.8559	0.90243	0.90206	0.999995	868	0	-0.8559
CACNG3	5	0.13476	0.27768	0.999361	252	1	-0.17148	0.81315	0.83244	0.999995	795	1	-0.17148
D17H6S56E-3	5	0.13476	0.27768	0.999361	253	3	-0.54948	0.19462	0.36818	0.986538	362	2	-0.54948
4933408B17RIK	5	0.1358	0.27912	0.999361	254	3	-0.54593	0.87876	0.88038	0.999995	847	1	-0.54593
GPR35	5	0.13606	0.27964	0.999361	255	3	-0.63123	0.89175	0.89174	0.999995	857	1	-0.63123
DOCK4	5	0.1385	0.28359	0.999361	256	3	-0.35239	0.82016	0.83662	0.999995	802	1	-0.35239
PSMG2	5	0.13979	0.28574	0.999361	257	3	-0.5798	0.4951	0.64944	0.999995	602	1	-0.5798
RPAIN	5	0.13983	0.28583	0.999361	258	2	0.1317	0.0042353	0.017569	0.689081	22	2	0.1317
A230065H16RIK	5	0.14008	0.28617	0.999361	259	1	0.57017	0.13344	0.27935	0.959473	281	3	0.57017
SLC6A7	5	0.14247	0.28964	0.999361	260	3	-0.63964	0.43299	0.59884	0.999995	559	1	-0.63964
REEP2	5	0.14297	0.29036	0.999361	261	2	0.35742	0.21219	0.39298	0.987908	384	3	0.35742
SPAG5	5	0.14302	0.29045	0.999361	262	3	-0.45125	0.52163	0.6718	0.999995	623	2	-0.45125
ICMT	5	0.1431	0.29058	0.999361	263	2	-0.9628	0.93635	0.93711	0.999995	910	0	-0.9628
PROX2	5	0.14356	0.29124	0.999361	264	3	-0.6472	0.36643	0.54627	0.999995	510	2	-0.6472
EXOC2	5	0.14393	0.29181	0.999361	265	2	0.090265	0.60075	0.73827	0.999995	686	2	0.090265
TTC33	5	0.1441	0.29203	0.999361	266	3	-0.7715	0.70824	0.77941	0.999995	738	1	-0.7715
FAM185A	5	0.14478	0.29309	0.999361	267	3	-0.74055	0.20555	0.38401	0.987908	375	1	-0.74055
UGCG	3	0.14613	0.24376	0.999361	268	2	-0.63232	0.36189	0.47137	0.999995	505	1	-0.63232
FBXO32	5	0.14677	0.29599	0.999361	269	3	-0.39978	0.38958	0.56436	0.999995	529	2	-0.39978
GM8994	3	0.14686	0.24464	0.999361	270	2	-0.9359	0.69288	0.6974	0.999995	730	1	-0.9359
GPR160	3	0.14848	0.2466	0.999361	271	1	-0.1387	0.53511	0.57431	0.999995	634	1	-0.1387
GLRA3	5	0.14875	0.29885	0.999361	272	3	-0.53536	0.96534	0.96565	0.999995	938	0	-0.53536
UBASH3B	5	0.14969	0.30056	0.999361	273	3	-0.42703	0.36416	0.54456	0.999995	509	1	-0.42703
ITGB8	5	0.14969	0.30056	0.999361	274	1	0.13909	0.06727	0.17842	0.893092	184	2	0.13909
VPS18	5	0.15047	0.30183	0.999361	275	2	-0.19668	0.56092	0.70457	0.999995	655	2	-0.19668
SGPL1	5	0.1518	0.30386	0.999361	276	3	-0.46796	0.8229	0.83849	0.999995	805	1	-0.46796
DNAJB11	5	0.15208	0.3042	0.999361	277	1	0.51962	0.0067472	0.026975	0.700495	34	3	0.51962
PWWP2A	5	0.15264	0.305	0.999361	278	3	-0.84245	0.96803	0.96828	0.999995	943	0	-0.84245
METTL10	5	0.15351	0.3062	0.999361	279	2	0.14301	0.91569	0.91634	0.999995	878	0	0.14301
GM933	4	0.15516	0.29093	0.999361	280	2	0.10338	0.060024	0.14133	0.860826	169	2	0.10338
SETX	5	0.15573	0.3094	0.999361	281	3	-0.52576	0.92324	0.92358	0.999995	888	0	-0.52576
RWDD2A	5	0.15826	0.31286	0.999361	282	2	-0.019522	0.023197	0.072599	0.805049	82	2	-0.019522
MRPL24	5	0.16016	0.31603	0.999361	283	1	-0.03347	0.80783	0.82894	0.999995	790	1	-0.03347
BCR	5	0.16055	0.31664	0.999361	284	3	-0.68454	0.87196	0.87425	0.999995	840	1	-0.68454
ABHD3	5	0.16199	0.31884	0.999361	285	3	-0.41446	0.60319	0.74047	0.999995	687	2	-0.41446
APH1B	5	0.16205	0.31899	0.999361	286	1	0.13367	0.55158	0.69681	0.999995	647	2	0.13367
EVI5L	5	0.16253	0.31976	0.999361	287	2	0.58261	0.028108	0.085431	0.805049	99	3	0.58261
ANO3	5	0.16313	0.32067	0.999361	288	2	-0.040525	0.18635	0.35625	0.985605	351	1	-0.040525
OPRK1	5	0.16371	0.32165	0.999361	289	3	-0.50152	0.70374	0.77723	0.999995	735	1	-0.50152
MEP1A	5	0.16634	0.32548	0.999361	290	2	-0.16962	0.3905	0.56515	0.999995	530	2	-0.16962
LGALS3	5	0.16677	0.32619	0.999361	291	2	0.46584	0.16371	0.32442	0.969336	322	3	0.46584
EFNA5	5	0.16677	0.32619	0.999361	292	2	-0.12403	0.82044	0.83682	0.999995	803	1	-0.12403
ALOX8	5	0.16998	0.33062	0.999361	293	3	-0.59684	0.84926	0.85635	0.999995	826	1	-0.59684
OLFR597	4	0.17079	0.30731	0.999361	294	2	-0.35376	0.88773	0.88747	0.999995	854	0	-0.35376
3110079O15RIK	5	0.17115	0.33232	0.999361	295	3	-0.57566	0.094992	0.22291	0.91785	229	2	-0.57566
NAPG	5	0.1738	0.33607	0.999361	296	2	-0.39893	0.27135	0.46956	0.999995	445	2	-0.39893
AKR1B8	5	0.1752	0.33798	0.999361	297	3	-0.38974	0.46872	0.62759	0.999995	579	1	-0.38974
SPG20	5	0.17724	0.341	0.999361	298	3	-0.52043	0.17427	0.33911	0.977861	337	1	-0.52043
RND3	4	0.18057	0.31771	0.999361	299	2	-0.42061	0.028017	0.079045	0.805049	98	1	-0.42061
UROS	5	0.18207	0.348	0.999361	300	3	-0.62071	0.81878	0.83571	0.999995	799	1	-0.62071
SNX20	5	0.18285	0.34916	0.999361	301	2	1.2696	0.010746	0.038203	0.794807	45	3	1.2696
PDIA3	5	0.18388	0.35071	0.999361	302	2	-0.47926	0.18079	0.34841	0.977861	346	2	-0.47926
HELQ	5	0.18419	0.3512	0.999361	303	3	-0.56342	0.98148	0.98115	0.999995	960	0	-0.56342
USP54	5	0.18429	0.35128	0.999361	304	2	-0.16645	0.92997	0.93043	0.999995	898	0	-0.16645
MXRA8	5	0.1845	0.35158	0.999361	305	1	0.071596	0.017841	0.058045	0.805049	64	2	0.071596
GRHPR	5	0.1845	0.35158	0.999361	306	2	1.2158	0.001248	0.0054307	0.689081	7	3	1.2158
FBLIM1	5	0.18471	0.35186	0.999361	307	2	-0.13034	0.59036	0.72956	0.999995	674	1	-0.13034
FSCN1	5	0.18695	0.35521	0.999361	308	3	-1.4242	0.93659	0.93734	0.999995	911	0	-1.4242
SETDB2	5	0.18819	0.35701	0.999361	309	2	0.053603	0.03589	0.10526	0.81847	122	2	0.053603
FTSJ2	5	0.18911	0.35831	0.999361	310	1	-0.23472	0.23413	0.42381	0.999545	411	1	-0.23472
AGPAT1	5	0.19052	0.36057	0.999361	311	2	1.1448	0.018814	0.060668	0.805049	66	3	1.1448
PLCD3	5	0.19142	0.36199	0.999361	312	3	-0.63232	0.64481	0.75508	0.999995	711	1	-0.63232
LMBR1	5	0.19204	0.36293	0.999361	313	3	-0.50508	0.32121	0.50941	0.999995	475	2	-0.50508
RAPGEF5	4	0.19272	0.33055	0.999361	314	2	-0.52268	0.81584	0.81746	0.999995	797	1	-0.52268
RNF183	5	0.19371	0.36541	0.999361	315	2	0.19447	0.38384	0.56017	0.999995	524	2	0.19447
CSMD3	5	0.19371	0.36541	0.999361	316	2	-0.047064	0.59012	0.72934	0.999995	673	2	-0.047064
RAB3A	4	0.19438	0.33234	0.999361	317	1	-0.011085	0.046645	0.11575	0.826768	146	1	-0.011085
DNAJB5	5	0.19547	0.3677	0.999361	318	3	-0.6084	0.68948	0.77156	0.999995	728	1	-0.6084
GM949	4	0.19631	0.33425	0.999361	319	2	-0.64293	0.83936	0.83951	0.999995	817	1	-0.64293
AI836003	5	0.19681	0.36968	0.999361	320	2	-0.33571	0.050672	0.14255	0.860826	157	2	-0.33571
KCNK15	5	0.19782	0.37133	0.999361	321	3	-0.39992	0.61074	0.74325	0.999995	693	1	-0.39992
MPP7	5	0.19919	0.37335	0.999361	322	2	-0.065326	0.69097	0.77217	0.999995	729	1	-0.065326
NEU1	5	0.19971	0.37404	0.999361	323	3	-0.4403	0.81173	0.83154	0.999995	792	1	-0.4403
SCAF11	5	0.20193	0.37722	0.999361	324	3	-0.48955	0.70864	0.77956	0.999995	739	1	-0.48955
DDX43	5	0.20208	0.37745	0.999361	325	2	-0.188	0.53615	0.68367	0.999995	636	2	-0.188
PVRL2	5	0.20374	0.37978	0.999361	326	3	-0.45286	0.48839	0.64362	0.999995	598	2	-0.45286
TMEM161B	5	0.2042	0.38044	0.999361	327	2	0.14353	0.21726	0.40018	0.989772	392	2	0.14353
MTAP7	5	0.20511	0.38192	0.999361	328	3	-0.43402	0.93766	0.93852	0.999995	913	0	-0.43402
SLITRK2	5	0.20575	0.3829	0.999361	329	3	-0.43542	0.046486	0.13176	0.860826	144	2	-0.43542
VSX1	5	0.20832	0.3865	0.999361	330	3	-0.50219	0.21637	0.39885	0.989772	389	2	-0.50219
RYR2	5	0.2109	0.39004	0.999361	331	3	-0.3094	0.37695	0.55466	0.999995	519	2	-0.3094
ACAD10	5	0.21098	0.39023	0.999361	332	2	-0.19646	0.9477	0.94792	0.999995	921	0	-0.19646
LTV1	4	0.21202	0.35009	0.999361	333	2	0.31699	0.032715	0.0885	0.805049	112	2	0.31699
OXNAD1	5	0.21368	0.39384	0.999361	334	1	0.15654	0.17894	0.34566	0.977861	342	2	0.15654
H2-M5	5	0.21682	0.39855	0.999361	335	2	-0.073733	0.70966	0.78004	0.999995	740	1	-0.073733
GPR162	5	0.21806	0.4003	0.999361	336	3	-0.44715	0.94847	0.94868	0.999995	923	0	-0.44715
NUCB1	4	0.21819	0.35649	0.999361	337	2	-0.4443	0.98082	0.9813	0.999995	959	0	-0.4443
GSTM3	5	0.21852	0.40091	0.999361	338	2	-0.24297	0.88793	0.88819	0.999995	855	1	-0.24297
AW551984	5	0.22004	0.40334	0.999361	339	3	-0.37827	0.99309	0.99282	0.999995	974	0	-0.37827
OLFR1361	5	0.22036	0.40397	0.999361	340	3	-0.33368	0.97263	0.97237	0.999995	948	0	-0.33368
EIF2A	5	0.22039	0.404	0.999361	341	1	-0.17577	0.59355	0.73234	0.999995	679	1	-0.17577
CPXM1	5	0.22154	0.40559	0.999361	342	2	-0.21005	0.82453	0.83977	0.999995	807	1	-0.21005
ATPAF1	5	0.22283	0.40765	0.999361	343	2	-0.34027	0.30442	0.49557	0.999995	469	1	-0.34027
H2-M10.5	5	0.22284	0.40766	0.999361	344	3	-0.39904	0.5019	0.65531	0.999995	608	2	-0.39904
SYNE2	5	0.22327	0.4084	0.999361	345	2	0.67568	0.047667	0.13498	0.860826	148	3	0.67568
GM13178	5	0.224	0.40942	0.999361	346	3	-0.32494	0.80695	0.82838	0.999995	789	1	-0.32494
VMN1R57	1	0.22424	0.22386	0.999361	347	1	-1.0233	0.77576	0.77758	0.999995	774	0	-1.0233
GM4871	4	0.22433	0.3624	0.999361	348	1	0.60012	0.066026	0.15266	0.887549	181	3	0.60012
E030018B13RIK	5	0.2244	0.41003	0.999361	349	1	0.32058	0.13433	0.28085	0.959473	284	2	0.32058
FRMPD4	5	0.2244	0.41003	0.999361	350	2	-0.35356	0.30767	0.49816	0.999995	471	2	-0.35356
TRIM37	5	0.22483	0.41054	0.999361	351	3	-0.40923	0.36188	0.54264	0.999995	504	2	-0.40923
SMAP1	5	0.22522	0.41106	0.999361	352	2	0.65433	0.04857	0.13726	0.860826	150	3	0.65433
AGPAT9	4	0.22577	0.36389	0.999361	353	1	0.2955	0.11004	0.23307	0.936041	247	2	0.2955
KCTD16	5	0.22633	0.41265	0.999361	354	3	-0.33352	0.39715	0.57029	0.999995	533	2	-0.33352
OLFR44	4	0.22936	0.36756	0.999361	355	1	0.76493	0.011001	0.037025	0.794807	47	3	0.76493
LHFPL1	5	0.23196	0.42027	0.999361	356	2	0.33196	0.12315	0.26433	0.959473	265	3	0.33196
TSPAN11	4	0.23222	0.37041	0.999361	357	1	0.30402	0.41009	0.55646	0.999995	543	2	0.30402
TMEM42	5	0.23235	0.42084	0.999361	358	3	-0.37034	0.93328	0.93388	0.999995	904	0	-0.37034
MTMR10	5	0.23236	0.42085	0.999361	359	2	-0.23288	0.48429	0.64043	0.999995	595	1	-0.23288
CFD	5	0.23327	0.42211	0.999361	360	2	0.75721	0.020585	0.0655	0.805049	74	3	0.75721
BPIFB1	5	0.23438	0.42379	0.999361	361	3	-0.46146	0.25329	0.45003	0.999995	432	2	-0.46146
WDR44	5	0.23458	0.42412	0.999361	362	2	0.22169	0.39417	0.56809	0.999995	532	2	0.22169
SSBP4	5	0.23851	0.4275	0.999361	363	1	0.07253	0.12684	0.26972	0.959473	268	2	0.07253
SEP-04	5	0.23983	0.42852	0.999361	364	2	-0.3333	0.83224	0.84428	0.999995	812	1	-0.3333
D630023F18RIK	5	0.24158	0.42991	0.999361	365	1	0.16357	0.23764	0.42865	0.999995	414	2	0.16357
CPNE8	5	0.24158	0.42991	0.999361	366	1	0.46882	0.13546	0.28239	0.959473	285	3	0.46882
MYCBP	4	0.24218	0.38071	0.999361	367	1	0.27672	0.080646	0.18003	0.893092	208	2	0.27672
MSLNL	3	0.24434	0.36791	0.999361	368	2	-0.52226	0.93018	0.92982	0.999995	899	0	-0.52226
LAMB3	5	0.24511	0.43271	0.999361	369	2	0.099233	0.16063	0.31966	0.969336	317	2	0.099233
FRS3	5	0.24555	0.43309	0.999361	370	2	0.064219	0.079566	0.19786	0.898113	204	2	0.064219
ARPP19	2	0.246	0.29381	0.999361	371	1	-0.49365	0.63976	0.63754	0.999995	708	0	-0.49365
OLFR619	5	0.24666	0.43398	0.999361	372	2	-0.38111	0.33246	0.5182	0.999995	483	1	-0.38111
WDR41	5	0.24754	0.43483	0.999361	373	2	0.10895	0.35742	0.53881	0.999995	499	2	0.10895
ESYT2	5	0.2482	0.43524	0.999361	374	2	-0.40589	0.51355	0.66503	0.999995	618	2	-0.40589
HEXB	5	0.24983	0.43659	0.999361	375	1	0.27349	0.1385	0.28715	0.965395	287	2	0.27349
LRRC69	5	0.25415	0.4406	0.999361	376	1	-0.10906	0.42184	0.59022	0.999995	549	1	-0.10906
DCP1A	5	0.25573	0.44173	0.999361	377	2	-0.19724	0.50784	0.66027	0.999995	615	2	-0.19724
NR1D2	4	0.25942	0.39805	0.999361	378	2	-0.060162	0.36339	0.50928	0.999995	507	2	-0.060162
TAC4	4	0.26319	0.40234	0.999361	379	2	-0.33282	0.93445	0.93376	0.999995	907	0	-0.33282
OLFR971	4	0.26319	0.40234	0.999361	380	1	0.724	0.020889	0.063856	0.805049	77	3	0.724
OLFR654	5	0.2633	0.44841	0.999361	381	2	-0.13623	0.56913	0.71153	0.999995	661	1	-0.13623
MYH13	5	0.26485	0.44979	0.999361	382	2	0.14343	0.40883	0.57971	0.999995	541	2	0.14343
FZD4	5	0.26783	0.4522	0.999361	383	1	0.10283	0.40196	0.57383	0.999995	536	2	0.10283
CAR7	5	0.26952	0.45365	0.999361	384	1	0.50293	0.090662	0.21564	0.913574	222	3	0.50293
CRCT1	1	0.27042	0.27104	0.999361	385	1	-0.85435	0.72958	0.73109	0.999995	750	0	-0.85435
RXRA	5	0.2709	0.45478	0.999361	386	2	0.1624	0.93164	0.93225	0.999995	902	0	0.1624
AI314180	5	0.27122	0.455	0.999361	387	2	0.13327	0.16394	0.32473	0.969336	324	2	0.13327
CMPK1	4	0.27437	0.41332	0.999361	388	2	-0.30736	0.25763	0.40327	0.989772	435	1	-0.30736
RAVER1	5	0.27539	0.45827	0.999361	389	2	0.74936	0.040113	0.11572	0.826768	130	3	0.74936
ZFP869	5	0.27544	0.45828	0.999361	390	2	-0.11968	0.54819	0.69387	0.999995	645	1	-0.11968
SMARCB1	5	0.27674	0.45942	0.999361	391	2	-0.34376	0.93562	0.93645	0.999995	909	0	-0.34376
POU2F1	5	0.27786	0.4603	0.999361	392	2	-0.39683	0.83829	0.84854	0.999995	813	1	-0.39683
CRY1	5	0.27786	0.4603	0.999361	393	2	0.40838	0.21643	0.39893	0.989772	390	3	0.40838
ACBD3	5	0.28131	0.46308	0.999361	394	2	0.03185	0.81988	0.83638	0.999995	801	1	0.03185
PCDH7	5	0.28169	0.46338	0.999361	395	2	-0.076058	0.8449	0.85321	0.999995	821	1	-0.076058
CKM	5	0.28259	0.46422	0.999361	396	2	0.63797	0.090268	0.21501	0.913574	221	3	0.63797
PTMA	2	0.28299	0.32133	0.999361	397	1	-0.37389	0.50731	0.50929	0.999995	613	1	-0.37389
UBXN7	5	0.28381	0.46528	0.999361	398	1	0.28541	0.73636	0.7917	0.999995	758	1	0.28541
CD3D	5	0.28714	0.46838	0.999361	399	2	-0.16467	0.74814	0.7972	0.999995	763	1	-0.16467
ADAMTS16	5	0.28797	0.46907	0.999361	400	1	0.17693	0.11863	0.2574	0.959473	256	2	0.17693
FBXO2	5	0.28801	0.46911	0.999361	401	2	-0.4396	0.049627	0.13991	0.860826	154	2	-0.4396
SSH1	5	0.28846	0.46953	0.999361	402	2	-0.2711	0.87693	0.87887	0.999995	845	1	-0.2711
USP34	5	0.2888	0.46981	0.999361	403	1	-0.20294	0.66526	0.76237	0.999995	719	1	-0.20294
DYNC1LI1	4	0.29003	0.42994	0.999361	404	2	-0.39373	0.59098	0.67101	0.999995	675	1	-0.39373
4833442J19RIK	5	0.29046	0.47118	0.999361	405	1	0.93678	0.038375	0.11131	0.81847	129	3	0.93678
PRPS1L3	3	0.29062	0.41838	0.999361	406	1	-0.0050612	0.0055441	0.014767	0.689081	30	1	-0.0050612
PRAMEL6	5	0.29389	0.47386	0.999361	407	2	0.27364	0.19095	0.36307	0.985605	357	2	0.27364
SDC4	5	0.29525	0.47507	0.999361	408	2	0.14543	0.49858	0.65255	0.999995	604	2	0.14543
WDR83	5	0.29706	0.47627	0.999361	409	1	0.00096873	0.26187	0.46187	0.999995	441	2	0.00096873
XRN1	5	0.29707	0.47628	0.999361	410	2	0.1003	0.23939	0.43096	0.999995	417	2	0.1003
ZFP112	4	0.29856	0.4387	0.999361	411	1	1.0255	0.003279	0.012015	0.689081	15	3	1.0255
ALAS1	4	0.29856	0.4387	0.999361	412	1	0.21468	0.28835	0.43395	0.999995	454	2	0.21468
PPP1R3D	4	0.29856	0.4387	0.999361	413	1	-0.15695	0.88108	0.8815	0.999995	850	0	-0.15695
NUDT18	5	0.29956	0.47855	0.999361	414	2	-0.34197	0.91524	0.9157	0.999995	877	0	-0.34197
OLFR883	4	0.30075	0.44106	0.999361	415	2	-0.24951	0.61537	0.68316	0.999995	696	1	-0.24951
FBXO17	5	0.30115	0.47993	0.999361	416	2	0.38921	0.14104	0.29119	0.965395	290	3	0.38921
HIST1H2AA	5	0.30138	0.48016	0.999361	417	2	-0.27491	0.84624	0.85419	0.999995	823	1	-0.27491
LMO4	3	0.30148	0.42418	0.999361	418	1	-0.34968	0.70375	0.70696	0.999995	736	1	-0.34968
ZFP523	5	0.30434	0.48265	0.999361	419	2	-0.24511	0.29911	0.49141	0.999995	465	2	-0.24511
KCTD3	5	0.30798	0.48581	0.999361	420	2	0.11352	0.91807	0.91876	0.999995	883	0	0.11352
SPSB2	5	0.31117	0.48879	0.999361	421	2	-0.051941	0.66707	0.76296	0.999995	720	1	-0.051941
DIO3	5	0.31208	0.48956	0.999361	422	2	0.24377	0.80089	0.82486	0.999995	786	1	0.24377
MGAT1	5	0.31374	0.4909	0.999361	423	2	-0.1858	0.14194	0.29228	0.965395	292	2	-0.1858
GGT5	5	0.3139	0.49105	0.999361	424	2	-0.012797	0.9339	0.93459	0.999995	905	0	-0.012797
MYOD1	5	0.3171	0.49367	0.999361	425	2	-0.074457	0.61278	0.74402	0.999995	694	1	-0.074457
KLHL3	5	0.31735	0.49385	0.999361	426	1	0.37193	0.032315	0.096173	0.805049	111	4	0.37193
AR	5	0.31735	0.49385	0.999361	427	2	-0.31104	0.95032	0.95047	0.999995	925	0	-0.31104
PPFIA1	5	0.31735	0.49385	0.999361	428	1	0.26271	0.87343	0.87556	0.999995	841	1	0.26271
HOXA11	5	0.31824	0.49467	0.999361	429	2	-0.25306	0.96322	0.96355	0.999995	935	0	-0.25306
FREM1	5	0.32372	0.49932	0.999361	430	2	-0.22297	0.59258	0.73144	0.999995	677	2	-0.22297
SYT7	5	0.32441	0.49997	0.999361	431	2	0.74714	0.077052	0.19393	0.893667	201	3	0.74714
PGC	5	0.32486	0.50038	0.999361	432	2	-0.013243	0.47411	0.6321	0.999995	584	2	-0.013243
BHMT2	5	0.32614	0.50154	0.999361	433	1	-0.28218	0.72375	0.78584	0.999995	747	1	-0.28218
YTHDF2	4	0.32619	0.46765	0.999361	434	1	0.091588	0.52093	0.638	0.999995	621	1	0.091588
DMRT2	5	0.33168	0.506	0.999361	435	1	0.32282	0.25918	0.45827	0.999995	438	3	0.32282
CH25H	5	0.33425	0.50821	0.999361	436	2	0.11058	0.59953	0.73731	0.999995	685	2	0.11058
MYLK4	5	0.33443	0.50838	0.999361	437	1	0.20744	0.072409	0.18665	0.893092	192	2	0.20744
ZFP322A	5	0.33443	0.50838	0.999361	438	1	0.049694	0.37844	0.55589	0.999995	520	1	0.049694
PKP1	5	0.33585	0.50957	0.999361	439	2	0.27512	0.19136	0.36369	0.985605	358	2	0.27512
9430069I07RIK	2	0.33796	0.36318	0.999361	440	1	-0.33172	0.55937	0.55822	0.999995	654	1	-0.33172
ACOT13	5	0.33875	0.51222	0.999361	441	1	0.19405	0.42254	0.59087	0.999995	550	2	0.19405
SAMD9L	5	0.33875	0.51222	0.999361	442	2	-0.25204	0.96338	0.96367	0.999995	936	0	-0.25204
HTRA4	5	0.33875	0.51222	0.999361	443	1	-0.20674	0.28548	0.48075	0.999995	453	2	-0.20674
SUV420H2	5	0.33875	0.51222	0.999361	444	2	-0.37416	0.91704	0.91774	0.999995	880	0	-0.37416
FAM63A	5	0.33906	0.51258	0.999361	445	2	-0.22451	0.52967	0.67818	0.999995	630	2	-0.22451
H2-OB	5	0.3409	0.51403	0.999361	446	2	-0.31869	0.47914	0.63627	0.999995	590	1	-0.31869
OGDH	5	0.34227	0.5153	0.999361	447	2	-0.3698	0.65095	0.75714	0.999995	713	1	-0.3698
PLXNA4	5	0.34265	0.51561	0.999361	448	1	0.62425	0.098918	0.22897	0.929675	235	3	0.62425
FAM84B	5	0.34732	0.5195	0.999361	449	2	0.11254	0.73485	0.79105	0.999995	755	1	0.11254
STK31	5	0.34885	0.5208	0.999361	450	2	-0.093149	0.18172	0.34968	0.977861	348	2	-0.093149
SPESP1	5	0.35194	0.52369	0.999361	451	2	0.21662	0.52489	0.67453	0.999995	626	2	0.21662
ARHGAP22	5	0.35271	0.52446	0.999361	452	1	0.22178	0.15755	0.31489	0.969336	310	2	0.22178
SOD3	4	0.35338	0.49559	0.999361	453	2	-0.0024979	0.35864	0.50413	0.999995	500	2	-0.0024979
SNX4	5	0.35421	0.52574	0.999361	454	2	-0.23388	0.47501	0.63292	0.999995	585	2	-0.23388
HTR5B	5	0.35605	0.52725	0.999361	455	2	-0.30385	0.94269	0.94318	0.999995	916	0	-0.30385
GUCY2F	5	0.35697	0.52802	0.999361	456	2	-0.21246	0.24776	0.44224	0.999995	425	2	-0.21246
NRIP2	5	0.35807	0.52886	0.999361	457	2	0.026175	0.077015	0.19384	0.893667	200	2	0.026175
IRAK1	5	0.35807	0.52886	0.999361	458	1	-0.085181	0.30843	0.49882	0.999995	472	2	-0.085181
DLK2	5	0.35807	0.52886	0.999361	459	2	0.7212	0.055884	0.15474	0.887723	162	3	0.7212
DCAF12L2	5	0.35807	0.52886	0.999361	460	1	-0.095081	0.14681	0.29934	0.967758	301	1	-0.095081
CLIP1	5	0.35807	0.52886	0.999361	461	1	0.137	0.82736	0.84151	0.999995	808	1	0.137
PDE9A	5	0.36156	0.53215	0.999361	462	2	-0.19077	0.049623	0.1399	0.860826	153	2	-0.19077
TH	5	0.36386	0.53421	0.999361	463	2	0.35641	0.25883	0.45773	0.999995	437	3	0.35641
USP37	5	0.36568	0.53564	0.999361	464	1	0.042465	0.37918	0.5565	0.999995	522	1	0.042465
MRPL45	5	0.36799	0.53753	0.999361	465	2	-0.23922	0.66435	0.76205	0.999995	717	1	-0.23922
PDZD4	5	0.36937	0.5387	0.999361	466	2	0.25588	0.50586	0.65868	0.999995	611	2	0.25588
SIRT2	5	0.37029	0.53943	0.999361	467	2	-0.18125	0.003041	0.012995	0.689081	14	2	-0.18125
ILDR2	5	0.37098	0.54016	0.999361	468	2	0.082729	0.2455	0.43926	0.999995	422	2	0.082729
WISP2	5	0.37213	0.54101	0.999361	469	2	-0.35779	0.14201	0.29237	0.965395	293	2	-0.35779
ZFP12	5	0.37259	0.54146	0.999361	470	2	-0.23688	0.48883	0.64396	0.999995	599	2	-0.23688
HNRNPUL2	4	0.37458	0.51775	0.999361	471	2	-0.083498	0.24774	0.3938	0.987908	424	2	-0.083498
KLHL18	5	0.3758	0.54427	0.999361	472	2	-0.405	0.50696	0.6595	0.999995	612	2	-0.405
CAMK2N2	4	0.37717	0.52016	0.999361	473	2	-0.35626	0.82872	0.82916	0.999995	809	1	-0.35626
PRKCH	5	0.3804	0.54821	0.999361	474	2	0.10293	0.29211	0.48608	0.999995	458	2	0.10293
ZMYND10	5	0.38067	0.54844	0.999361	475	2	-0.0050421	0.10277	0.23403	0.936139	240	1	-0.0050421
BIRC6	5	0.38215	0.54972	0.999361	476	1	0.079102	0.90626	0.90598	0.999995	872	0	0.079102
TMEM106B	5	0.38292	0.55037	0.999361	477	2	0.52394	0.14302	0.29385	0.965395	295	3	0.52394
CYS1	5	0.38292	0.55037	0.999361	478	2	-0.9628	0.59249	0.73135	0.999995	676	1	-0.9628
2610002J02RIK	5	0.38363	0.55079	0.999361	479	1	0.08711	0.48365	0.6399	0.999995	594	1	0.08711
PSD2	5	0.38728	0.55361	0.999361	480	2	0.27403	0.35271	0.53501	0.999995	497	1	0.27403
